Store Location,State,Store ID,Territory Manager,Region,Region Director
Aurora,Colorado,701,Jim Heck,West,Cassie Chambers
Berthoud,Colorado,702,Jim Heck,West,Cassie Chambers
Boulder,Colorado,703,Jim Heck,West,Cassie Chambers
Castle Rock,Colorado,704,Jim Heck,West,Cassie Chambers
Denver,Colorado,705,Jim Heck,West,Cassie Chambers
Englewood,Colorado,706,Jim Heck,West,Cassie Chambers
Fort Collins,Colorado,707,Jim Heck,West,Cassie Chambers
Grand Junction,Colorado,708,Jim Heck,West,Cassie Chambers
Greeley,Colorado,709,Jim Heck,West,Cassie Chambers
Lafayette,Colorado,710,Jim Heck,West,Cassie Chambers
Littleton,Colorado,711,Jim Heck,West,Cassie Chambers
Loveland,Colorado,712,Jim Heck,West,Cassie Chambers
Milliken,Colorado,713,Jim Heck,West,Cassie Chambers
New Castle,Colorado,714,Jim Heck,West,Cassie Chambers
Parker,Colorado,715,Jim Heck,West,Cassie Chambers
Sedalia,Colorado,716,Jim Heck,West,Cassie Chambers
Thornton,Colorado,717,Jim Heck,West,Cassie Chambers
Wheat Ridge,Colorado,718,Jim Heck,West,Cassie Chambers
Bridgeport,Connecticut,865,Ellen Lemon,East,Ana Jilani
Darien,Connecticut,866,Ellen Lemon,East,Ana Jilani
Hartford,Connecticut,867,Ellen Lemon,East,Ana Jilani
Litchfield County,Connecticut,868,Ellen Lemon,East,Ana Jilani
New Haven,Connecticut,869,Ellen Lemon,East,Ana Jilani
New London,Connecticut,870,Ellen Lemon,East,Ana Jilani
Old Saybrook,Connecticut,871,Ellen Lemon,East,Ana Jilani
Waterbury,Connecticut,872,Ellen Lemon,East,Ana Jilani
Cape Canaveral,Florida,719,Lana Ilana,South,Andy Gisselquist
Fort Lauderdale,Florida,720,Lana Ilana,South,Andy Gisselquist
Jacksonville,Florida,721,Lana Ilana,South,Andy Gisselquist
Key West,Florida,722,Lana Ilana,South,Andy Gisselquist
Lakeland,Florida,723,Lana Ilana,South,Andy Gisselquist
Miami,Florida,724,Lana Ilana,South,Andy Gisselquist
Naples,Florida,725,Lana Ilana,South,Andy Gisselquist
Orlando,Florida,726,Lana Ilana,South,Andy Gisselquist
Sebring,Florida,727,Lana Ilana,South,Andy Gisselquist
Tallahassee,Florida,728,Lana Ilana,South,Andy Gisselquist
Tampa,Florida,729,Lana Ilana,South,Andy Gisselquist
Bangor,Maine,818,Erbayne Middleton,Northeast,Michael Jarvis
Bar Harbor,Maine,819,Erbayne Middleton,Northeast,Michael Jarvis
Kennebunkport,Maine,820,Erbayne Middleton,Northeast,Michael Jarvis
Lewiston,Maine,821,Erbayne Middleton,Northeast,Michael Jarvis
Orono,Maine,822,Erbayne Middleton,Northeast,Michael Jarvis
South Portland,Maine,823,Erbayne Middleton,Northeast,Michael Jarvis
Annapolis,Maryland,731,Shruti Reddy,Northeast,Michael Jarvis
Back River,Maryland,732,Shruti Reddy,Northeast,Michael Jarvis
Baltimore,Maryland,733,Shruti Reddy,Northeast,Michael Jarvis
Germantown,Maryland,734,Shruti Reddy,Northeast,Michael Jarvis
Howard,Maryland,735,Shruti Reddy,Northeast,Michael Jarvis
North Harford,Maryland,736,Shruti Reddy,Northeast,Michael Jarvis
Parkville,Maryland,737,Shruti Reddy,Northeast,Michael Jarvis
